COUNTY,LANE_TYPE,RURAL_URBAN,ROAD_MILES,TRAVEL_MVM,TOTAL_CRASHES,PDO_CRASHES,INJURY_CRASHES,FATAL_CRASHES,VICTIM_KILLED,VICTIM_INJURED,,,,,,,,,,,,,,,,,,,,,,
ALA,     FREEWAY,URBAN,127.5 ,"7,277.7 ","7,829 ","5,606 ","2,184 ",39 ,41 ,"3,081 ",,,,,,,,,,,,,,,,,,,,,,
ALA,     TOTAL,URBAN,174.8 ,"7,742.9 ","8,303 ","5,843 ","2,415 ",45 ,47 ,"3,415 ",,,,,,,,,,,,,,,,,,,,,,
ALA,      2 AND 3 LN,COUNTYWIDE,14.1 ,101.4 ,79 ,35 ,43 ,1 ,2 ,77 ,,,,,,,,,,,,,,,,,,,,,,
ALA,      4+ UND,COUNTYWIDE,6.8 ,54.5 ,95 ,42 ,51 ,2 ,2 ,75 ,,,,,,,,,,,,,,,,,,,,,,
ALA,      4+ DIV,COUNTYWIDE,33.0 ,359.6 ,367 ,203 ,160 ,4 ,4 ,227 ,,,,,,,,,,,,,,,,,,,,,,
ALA,     SUBTOTAL,COUNTYWIDE,53.8 ,515.4 ,541 ,280 ,254 ,7 ,8 ,379 ,,,,,,,,,,,,,,,,,,,,,,
ALA,     2 AND 3 LN EXP,COUNTYWIDE,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
ALA,     4+ DIV EXP,COUNTYWIDE,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
ALA,     NON FWY,COUNTYWIDE,53.8 ,515.4 ,541 ,280 ,254 ,7 ,8 ,379 ,,,,,,,,,,,,,,,,,,,,,,
ALA,     FREEWAY,COUNTYWIDE,141.0 ,"7,897.1 ","8,523 ","6,084 ","2,396 ",43 ,46 ,"3,379 ",,,,,,,,,,,,,,,,,,,,,,
ALA,     TOTAL,COUNTYWIDE,194.8 ,"8,412.5 ","9,064 ","6,364 ","2,650 ",50 ,54 ,"3,758 ",,,,,,,,,,,,,,,,,,,,,,
ALP,      2 AND 3 LN,RURAL ,65.2 ,76.9 ,35 ,21 ,14 ,0 ,0 ,16 ,,,,,,,,,,,,,,,,,,,,,,
ALP,      4+ UND,RURAL ,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
ALP,      4+ DIV,RURAL ,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
ALP,     SUBTOTAL,RURAL ,65.2 ,76.9 ,35 ,21 ,14 ,0 ,0 ,16 ,,,,,,,,,,,,,,,,,,,,,,
ALP,     2 AND 3 LN EXP,RURAL ,17.5 ,17.7 ,23 ,18 ,5 ,0 ,0 ,5 ,,,,,,,,,,,,,,,,,,,,,,
ALP,     4+ DIV EXP,RURAL ,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
ALP,     NON FWY,RURAL ,82.7 ,94.6 ,58 ,39 ,19 ,0 ,0 ,21 ,,,,,,,,,,,,,,,,,,,,,,
ALP,     FREEWAY,RURAL ,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
ALP,     TOTAL,RURAL ,82.7 ,94.6 ,58 ,39 ,19 ,0 ,0 ,21 ,,,,,,,,,,,,,,,,,,,,,,
ALP,      2 AND 3 LN,URBAN,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
ALP,      4+ UND,URBAN,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
ALP,      4+ DIV,URBAN,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
ALP,     SUBTOTAL,URBAN,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
ALP,     2 AND 3 LN EXP,URBAN,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
ALP,     4+ DIV EXP,URBAN,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
ALP,     NON FWY,URBAN,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
ALP,     FREEWAY,URBAN,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
ALP,     TOTAL,URBAN,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
ALP,      2 AND 3 LN,COUNTYWIDE,65.2 ,76.9 ,35 ,21 ,14 ,0 ,0 ,16 ,,,,,,,,,,,,,,,,,,,,,,
ALP,      4+ UND,COUNTYWIDE,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
ALP,      4+ DIV,COUNTYWIDE,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
ALP,     SUBTOTAL,COUNTYWIDE,65.2 ,76.9 ,35 ,21 ,14 ,0 ,0 ,16 ,,,,,,,,,,,,,,,,,,,,,,
ALP,     2 AND 3 LN EXP,COUNTYWIDE,17.5 ,17.7 ,23 ,18 ,5 ,0 ,0 ,5 ,,,,,,,,,,,,,,,,,,,,,,
ALP,     4+ DIV EXP,COUNTYWIDE,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
ALP,     NON FWY,COUNTYWIDE,82.7 ,94.6 ,58 ,39 ,19 ,0 ,0 ,21 ,,,,,,,,,,,,,,,,,,,,,,
ALP,     FREEWAY,COUNTYWIDE,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
ALP,     TOTAL,COUNTYWIDE,82.7 ,94.6 ,58 ,39 ,19 ,0 ,0 ,21 ,,,,,,,,,,,,,,,,,,,,,,
AMA,      2 AND 3 LN,RURAL ,89.2 ,212.3 ,193 ,109 ,78 ,6 ,8 ,113 ,,,,,,,,,,,,,,,,,,,,,,
AMA,      4+ UND,RURAL ,1.3 ,2.1 ,4 ,3 ,1 ,0 ,0 ,1 ,,,,,,,,,,,,,,,,,,,,,,
AMA,      4+ DIV,RURAL ,2.4 ,13.6 ,21 ,14 ,5 ,2 ,2 ,7 ,,,,,,,,,,,,,,,,,,,,,,
AMA,     SUBTOTAL,RURAL ,92.9 ,228.1 ,218 ,126 ,84 ,8 ,10 ,121 ,,,,,,,,,,,,,,,,,,,,,,
AMA,     2 AND 3 LN EXP,RURAL ,26.1 ,40.0 ,29 ,18 ,9 ,2 ,2 ,19 ,,,,,,,,,,,,,,,,,,,,,,
AMA,     4+ DIV EXP,RURAL ,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
AMA,     NON FWY,RURAL ,119.0 ,268.0 ,247 ,144 ,93 ,10 ,12 ,140 ,,,,,,,,,,,,,,,,,,,,,,
AMA,     FREEWAY,RURAL ,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
AMA,     TOTAL,RURAL ,119.0 ,268.0 ,247 ,144 ,93 ,10 ,12 ,140 ,,,,,,,,,,,,,,,,,,,,,,
AMA,      2 AND 3 LN,URBAN,2.7 ,4.5 ,4 ,4 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
AMA,      4+ UND,URBAN,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
AMA,      4+ DIV,URBAN,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
AMA,     SUBTOTAL,URBAN,2.7 ,4.5 ,4 ,4 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
AMA,     2 AND 3 LN EXP,URBAN,4.0 ,5.7 ,2 ,1 ,1 ,0 ,0 ,1 ,,,,,,,,,,,,,,,,,,,,,,
AMA,     4+ DIV EXP,URBAN,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
AMA,     NON FWY,URBAN,6.7 ,10.2 ,6 ,5 ,1 ,0 ,0 ,1 ,,,,,,,,,,,,,,,,,,,,,,
AMA,     FREEWAY,URBAN,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
AMA,     TOTAL,URBAN,6.7 ,10.2 ,6 ,5 ,1 ,0 ,0 ,1 ,,,,,,,,,,,,,,,,,,,,,,
AMA,      2 AND 3 LN,COUNTYWIDE,92.0 ,216.8 ,197 ,113 ,78 ,6 ,8 ,113 ,,,,,,,,,,,,,,,,,,,,,,
AMA,      4+ UND,COUNTYWIDE,1.3 ,2.1 ,4 ,3 ,1 ,0 ,0 ,1 ,,,,,,,,,,,,,,,,,,,,,,
AMA,      4+ DIV,COUNTYWIDE,2.4 ,13.6 ,21 ,14 ,5 ,2 ,2 ,7 ,,,,,,,,,,,,,,,,,,,,,,
AMA,     SUBTOTAL,COUNTYWIDE,95.6 ,232.5 ,222 ,130 ,84 ,8 ,10 ,121 ,,,,,,,,,,,,,,,,,,,,,,
AMA,     2 AND 3 LN EXP,COUNTYWIDE,30.1 ,45.7 ,31 ,19 ,10 ,2 ,2 ,20 ,,,,,,,,,,,,,,,,,,,,,,
AMA,     4+ DIV EXP,COUNTYWIDE,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
AMA,     NON FWY,COUNTYWIDE,125.7 ,278.2 ,253 ,149 ,94 ,10 ,12 ,141 ,,,,,,,,,,,,,,,,,,,,,,
AMA,     FREEWAY,COUNTYWIDE,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
AMA,     TOTAL,COUNTYWIDE,125.7 ,278.2 ,253 ,149 ,94 ,10 ,12 ,141 ,,,,,,,,,,,,,,,,,,,,,,
BUT,      2 AND 3 LN,RURAL ,67.2 ,177.5 ,113 ,59 ,47 ,7 ,8 ,83 ,,,,,,,,,,,,,,,,,,,,,,
BUT,      4+ UND,RURAL ,0.7 ,1.6 ,3 ,1 ,1 ,1 ,1 ,2 ,,,,,,,,,,,,,,,,,,,,,,
BUT,      4+ DIV,RURAL ,2.0 ,12.0 ,7 ,4 ,3 ,0 ,0 ,8 ,,,,,,,,,,,,,,,,,,,,,,
BUT,     SUBTOTAL,RURAL ,69.9 ,191.0 ,123 ,64 ,51 ,8 ,9 ,93 ,,,,,,,,,,,,,,,,,,,,,,
BUT,     2 AND 3 LN EXP,RURAL ,39.0 ,60.0 ,33 ,22 ,11 ,0 ,0 ,12 ,,,,,,,,,,,,,,,,,,,,,,
BUT,     4+ DIV EXP,RURAL ,18.3 ,101.5 ,68 ,42 ,24 ,2 ,3 ,33 ,,,,,,,,,,,,,,,,,,,,,,
BUT,     NON FWY,RURAL ,127.1 ,352.5 ,224 ,128 ,86 ,10 ,12 ,138 ,,,,,,,,,,,,,,,,,,,,,,
BUT,     FREEWAY,RURAL ,1.8 ,15.2 ,4 ,1 ,3 ,0 ,0 ,7 ,,,,,,,,,,,,,,,,,,,,,,
BUT,     TOTAL,RURAL ,128.8 ,367.7 ,228 ,129 ,89 ,10 ,12 ,145 ,,,,,,,,,,,,,,,,,,,,,,
BUT,      2 AND 3 LN,URBAN,25.4 ,105.0 ,110 ,73 ,35 ,2 ,2 ,49 ,,,,,,,,,,,,,,,,,,,,,,
BUT,      4+ UND,URBAN,1.0 ,7.2 ,9 ,7 ,2 ,0 ,0 ,3 ,,,,,,,,,,,,,,,,,,,,,,
BUT,      4+ DIV,URBAN,4.5 ,28.7 ,50 ,20 ,28 ,2 ,2 ,37 ,,,,,,,,,,,,,,,,,,,,,,
BUT,     SUBTOTAL,URBAN,30.8 ,140.9 ,169 ,100 ,65 ,4 ,4 ,89 ,,,,,,,,,,,,,,,,,,,,,,
BUT,     2 AND 3 LN EXP,URBAN,4.3 ,13.4 ,4 ,2 ,2 ,0 ,0 ,2 ,,,,,,,,,,,,,,,,,,,,,,
BUT,     4+ DIV EXP,URBAN,6.0 ,45.0 ,42 ,26 ,15 ,1 ,2 ,28 ,,,,,,,,,,,,,,,,,,,,,,
BUT,     NON FWY,URBAN,41.1 ,199.3 ,215 ,128 ,82 ,5 ,6 ,119 ,,,,,,,,,,,,,,,,,,,,,,
BUT,     FREEWAY,URBAN,11.9 ,155.4 ,166 ,122 ,43 ,1 ,1 ,57 ,,,,,,,,,,,,,,,,,,,,,,
BUT,     TOTAL,URBAN,53.0 ,354.7 ,381 ,250 ,125 ,6 ,7 ,176 ,,,,,,,,,,,,,,,,,,,,,,
BUT,      2 AND 3 LN,COUNTYWIDE,92.6 ,282.5 ,223 ,132 ,82 ,9 ,10 ,132 ,,,,,,,,,,,,,,,,,,,,,,
BUT,      4+ UND,COUNTYWIDE,1.7 ,8.7 ,12 ,8 ,3 ,1 ,1 ,5 ,,,,,,,,,,,,,,,,,,,,,,
BUT,      4+ DIV,COUNTYWIDE,6.4 ,40.7 ,57 ,24 ,31 ,2 ,2 ,45 ,,,,,,,,,,,,,,,,,,,,,,
BUT,     SUBTOTAL,COUNTYWIDE,100.6 ,331.9 ,292 ,164 ,116 ,12 ,13 ,182 ,,,,,,,,,,,,,,,,,,,,,,
BUT,     2 AND 3 LN EXP,COUNTYWIDE,43.2 ,73.4 ,37 ,24 ,13 ,0 ,0 ,14 ,,,,,,,,,,,,,,,,,,,,,,
BUT,     4+ DIV EXP,COUNTYWIDE,24.3 ,146.5 ,110 ,68 ,39 ,3 ,5 ,61 ,,,,,,,,,,,,,,,,,,,,,,
BUT,     NON FWY,COUNTYWIDE,168.2 ,551.8 ,439 ,256 ,168 ,15 ,18 ,257 ,,,,,,,,,,,,,,,,,,,,,,
BUT,     FREEWAY,COUNTYWIDE,13.6 ,170.7 ,170 ,123 ,46 ,1 ,1 ,64 ,,,,,,,,,,,,,,,,,,,,,,
BUT,     TOTAL,COUNTYWIDE,181.8 ,722.4 ,609 ,379 ,214 ,16 ,19 ,321 ,,,,,,,,,,,,,,,,,,,,,,
CAL,      2 AND 3 LN,RURAL ,121.7 ,233.5 ,340 ,211 ,123 ,6 ,6 ,160 ,,,,,,,,,,,,,,,,,,,,,,
CAL,      4+ UND,RURAL ,0.3 ,0.7 ,1 ,0 ,1 ,0 ,0 ,1 ,,,,,,,,,,,,,,,,,,,,,,
CAL,      4+ DIV,RURAL ,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
CAL,     SUBTOTAL,RURAL ,122.0 ,234.2 ,341 ,211 ,124 ,6 ,6 ,161 ,,,,,,,,,,,,,,,,,,,,,,
CAL,     2 AND 3 LN EXP,RURAL ,28.3 ,30.8 ,21 ,12 ,8 ,1 ,1 ,18 ,,,,,,,,,,,,,,,,,,,,,,
CAL,     4+ DIV EXP,RURAL ,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
CAL,     NON FWY,RURAL ,150.2 ,265.0 ,362 ,223 ,132 ,7 ,7 ,179 ,,,,,,,,,,,,,,,,,,,,,,
CAL,     FREEWAY,RURAL ,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
CAL,     TOTAL,RURAL ,150.2 ,265.0 ,362 ,223 ,132 ,7 ,7 ,179 ,,,,,,,,,,,,,,,,,,,,,,
CAL,      2 AND 3 LN,URBAN,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
CAL,      4+ UND,URBAN,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
CAL,      4+ DIV,URBAN,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
CAL,     SUBTOTAL,URBAN,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
CAL,     2 AND 3 LN EXP,URBAN,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
CAL,     4+ DIV EXP,URBAN,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
CAL,     NON FWY,URBAN,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
CAL,     FREEWAY,URBAN,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
CAL,     TOTAL,URBAN,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
CAL,      2 AND 3 LN,COUNTYWIDE,121.7 ,233.5 ,340 ,211 ,123 ,6 ,6 ,160 ,,,,,,,,,,,,,,,,,,,,,,
CAL,      4+ UND,COUNTYWIDE,0.3 ,0.7 ,1 ,0 ,1 ,0 ,0 ,1 ,,,,,,,,,,,,,,,,,,,,,,
CAL,      4+ DIV,COUNTYWIDE,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
CAL,     SUBTOTAL,COUNTYWIDE,122.0 ,234.2 ,341 ,211 ,124 ,6 ,6 ,161 ,,,,,,,,,,,,,,,,,,,,,,
CAL,     2 AND 3 LN EXP,COUNTYWIDE,28.3 ,30.8 ,21 ,12 ,8 ,1 ,1 ,18 ,,,,,,,,,,,,,,,,,,,,,,
CAL,     4+ DIV EXP,COUNTYWIDE,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
CAL,     NON FWY,COUNTYWIDE,150.2 ,265.0 ,362 ,223 ,132 ,7 ,7 ,179 ,,,,,,,,,,,,,,,,,,,,,,
CAL,     FREEWAY,COUNTYWIDE,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
CAL,     TOTAL,COUNTYWIDE,150.2 ,265.0 ,362 ,223 ,132 ,7 ,7 ,179 ,,,,,,,,,,,,,,,,,,,,,,
CC,      2 AND 3 LN,RURAL ,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
CC,      4+ UND,RURAL ,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
CC,      4+ DIV,RURAL ,0.2 ,2.5 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
CC,     SUBTOTAL,RURAL ,0.2 ,2.5 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
CC,     2 AND 3 LN EXP,RURAL ,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
CC,     4+ DIV EXP,RURAL ,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
CC,     NON FWY,RURAL ,0.2 ,2.5 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
CC,     FREEWAY,RURAL ,12.3 ,192.2 ,170 ,109 ,59 ,2 ,2 ,77 ,,,,,,,,,,,,,,,,,,,,,,
CC,     TOTAL,RURAL ,12.5 ,194.7 ,170 ,109 ,59 ,2 ,2 ,77 ,,,,,,,,,,,,,,,,,,,,,,
CC,      2 AND 3 LN,URBAN,4.1 ,25.6 ,21 ,12 ,9 ,0 ,0 ,13 ,,,,,,,,,,,,,,,,,,,,,,
CC,      4+ UND,URBAN,1.8 ,13.9 ,37 ,33 ,4 ,0 ,0 ,4 ,,,,,,,,,,,,,,,,,,,,,,
CC,      4+ DIV,URBAN,1.9 ,37.0 ,38 ,30 ,8 ,0 ,0 ,10 ,,,,,,,,,,,,,,,,,,,,,,
CC,     SUBTOTAL,URBAN,7.8 ,76.5 ,96 ,75 ,21 ,0 ,0 ,27 ,,,,,,,,,,,,,,,,,,,,,,
CC,     2 AND 3 LN EXP,URBAN,0.1 ,1.4 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
CC,     4+ DIV EXP,URBAN,5.2 ,58.2 ,67 ,44 ,22 ,1 ,1 ,25 ,,,,,,,,,,,,,,,,,,,,,,
CC,     NON FWY,URBAN,13.2 ,136.1 ,163 ,119 ,43 ,1 ,1 ,52 ,,,,,,,,,,,,,,,,,,,,,,
CC,     FREEWAY,URBAN,85.9 ,"4,221.3 ","3,831 ","2,622 ","1,173 ",36 ,38 ,"1,677 ",,,,,,,,,,,,,,,,,,,,,,
CC,     TOTAL,URBAN,99.1 ,"4,357.3 ","3,994 ","2,741 ","1,216 ",37 ,39 ,"1,729 ",,,,,,,,,,,,,,,,,,,,,,
CC,      2 AND 3 LN,COUNTYWIDE,4.1 ,25.6 ,21 ,12 ,9 ,0 ,0 ,13 ,,,,,,,,,,,,,,,,,,,,,,
CC,      4+ UND,COUNTYWIDE,1.8 ,13.9 ,37 ,33 ,4 ,0 ,0 ,4 ,,,,,,,,,,,,,,,,,,,,,,
CC,      4+ DIV,COUNTYWIDE,2.2 ,39.5 ,38 ,30 ,8 ,0 ,0 ,10 ,,,,,,,,,,,,,,,,,,,,,,
CC,     SUBTOTAL,COUNTYWIDE,8.1 ,79.0 ,96 ,75 ,21 ,0 ,0 ,27 ,,,,,,,,,,,,,,,,,,,,,,
CC,     2 AND 3 LN EXP,COUNTYWIDE,0.1 ,1.4 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
CC,     4+ DIV EXP,COUNTYWIDE,5.2 ,58.2 ,67 ,44 ,22 ,1 ,1 ,25 ,,,,,,,,,,,,,,,,,,,,,,
CC,     NON FWY,COUNTYWIDE,13.4 ,138.6 ,163 ,119 ,43 ,1 ,1 ,52 ,,,,,,,,,,,,,,,,,,,,,,
CC,     FREEWAY,COUNTYWIDE,98.2 ,"4,413.5 ","4,001 ","2,731 ","1,232 ",38 ,40 ,"1,754 ",,,,,,,,,,,,,,,,,,,,,,
CC,     TOTAL,COUNTYWIDE,111.6 ,"4,552.0 ","4,164 ","2,850 ","1,275 ",39 ,41 ,"1,806 ",,,,,,,,,,,,,,,,,,,,,,
COL,      2 AND 3 LN,RURAL ,73.8 ,99.7 ,93 ,55 ,36 ,2 ,2 ,57 ,,,,,,,,,,,,,,,,,,,,,,
COL,      4+ UND,RURAL ,1.2 ,2.5 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
COL,      4+ DIV,RURAL ,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
COL,     SUBTOTAL,RURAL ,75.1 ,102.2 ,93 ,55 ,36 ,2 ,2 ,57 ,,,,,,,,,,,,,,,,,,,,,,
COL,     2 AND 3 LN EXP,RURAL ,1.1 ,3.2 ,3 ,2 ,1 ,0 ,0 ,1 ,,,,,,,,,,,,,,,,,,,,,,
COL,     4+ DIV EXP,RURAL ,1.2 ,3.3 ,2 ,1 ,1 ,0 ,0 ,4 ,,,,,,,,,,,,,,,,,,,,,,
COL,     NON FWY,RURAL ,77.4 ,108.6 ,98 ,58 ,38 ,2 ,2 ,62 ,,,,,,,,,,,,,,,,,,,,,,
COL,     FREEWAY,RURAL ,34.3 ,398.3 ,127 ,92 ,33 ,2 ,2 ,49 ,,,,,,,,,,,,,,,,,,,,,,
COL,     TOTAL,RURAL ,111.7 ,506.9 ,225 ,150 ,71 ,4 ,4 ,111 ,,,,,,,,,,,,,,,,,,,,,,
COL,      2 AND 3 LN,URBAN,2.3 ,7.1 ,4 ,2 ,2 ,0 ,0 ,2 ,,,,,,,,,,,,,,,,,,,,,,
COL,      4+ UND,URBAN,0.0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,
COL,      4+ DIV,URBAN,0.8 ,3.3 ,1 ,0 ,1 ,0 ,0 ,1 ,,,,,,,,,,,,,,,,,,,,,,
COL,     SUBTOTAL,URBAN,3.0 ,10.4 ,5 ,2 ,3 ,0 ,0 ,3 ,,,,,,,,,,,,,,,,,,,,,,
